PROV,KAB_KOT,JUM_PEN,LUAS_WILAYAH_KM2,PDRB_TOTAL_MILYAR,TOTAL_BTS,HLS_AVG
Sumatera Barat,Sawahlunto,68516,231.95,5441.23,175,14.2588888888889
Sumatera Barat,Kota Solok,83907,58.72,19412.79,209,13.685
Sumatera Barat,Lima Puluh Kota,400795,3273.41,22486.38,887,13.635
Sumatera Barat,Padang Pariaman,457532,1342.27,27793.21,1075,14.485
Sumatera Barat,Pasaman,312363,3902.44,12909.78,454,13.885
Sumatera Barat,Pasaman Barat,449677,3852.99,23014.44,941,13.795
Sumatera Barat,Pesisir Selatan,531494,6045.65,20357.36,1113,13.785
Sumatera Barat,Sijunjung,245936,3150.58,13536.75,480,13.21
Sumatera Barat,Solok,411053,3590.4,19412.79,835,13.685
Sumatera Barat,Solok Selatan,181869,3282.14,8157.2,327,13.325
Sumatera Barat,Tanah Datar,382333,1377.19,18472.04,895,14.845
Sumatera Selatan,BanyuAsin,866909,12480.08,43763.6,2298,12.687
Sumatera Selatan,Empat Lawang,336158,2321.34,7381.15,321,12.27
Sumatera Selatan,Lubuklinggau,245287,367.73,9386.8,521,12.687
Sumatera Selatan,Pagar Alam,151943,634.35,4170.93,267,13.645
Sumatera Selatan,Palembang,1781672,364.9,226466.13,4702,14.435
Sumatera Selatan,Prabumulih,211395,477.09,11336.75,533,13.6
Sumatera Selatan,Lahat,444891,4238.39,32401.65,883,12.75
Sumatera Selatan,Muara Enim,645250,6803.01,128196.33,1416,12.025
Sumatera Selatan,Musi Banyuasin,720545,14293.7,98937.71,1812,12.36
Sumatera Selatan,Musi Rawas,425148,6124.58,27232.74,821,12.515
Sumatera Selatan,Musi Rawas Utara,201490,5940.62,10072.6,336,12.26
Sumatera Selatan,Ogan Ilir,443361,2270.17,16324.27,902,12.495
Sumatera Selatan,Ogan Komering Ilir,786703,17037.93,50960.56,1980,12.005
Sumatera Selatan,Ogan Komering Ulu,387348,3763.96,22256.88,860,12.89
Sumatera Selatan,Ogan Komering Ulu Selatan,422566,4378.72,12801.41,494,12.165
Sumatera Selatan,Ogan Komering Ulu Timur,690282,3430.21,22541.51,1372,12.64
Sumatera Selatan,Penukal Abab Lematang Ilir,212220,1842.56,10339.89,337,12.25
Sumatera Utara,Asahan,797101,3737.83,63144.24,1846,13.095
Sumatera Utara,Batu Bara,465286,888.14,51388.29,901,13.175
Sumatera Utara,Dairi,329341,2083.6,13617.06,665,13.48
Sumatera Utara,Deli Serdang,2046862,2581.23,162247.88,5574,13.695
Sumatera Utara,Humbang Hasundutan,209317,2351.51,8831.08,448,13.97
Sumatera Utara,Karo,418705,2206.88,30462.81,1065,13.36
Sumatera Utara,Kota Binjai,312628,93.77,16644.36,758,14.215
Sumatera Utara,Gunungsitoli,138184,208.68,7647.11,268,14.085
Sumatera Utara,Kota Medan,2539829,279.29,353289.26,6794,14.825
Sumatera Utara,Padangsidimpuan,231266,159.3,9132.34,572,13.5903703703704
Sumatera Utara,Pematangsiantar,278325,75.92,18451.1,794,13.5903703703704
Sumatera Utara,Sibolga,99747,11.47,7575,160,13.45
Sumatera Utara,Kota Tanjungbalai,186150,60.07,13141.28,364,13.085
Sumatera Utara,Tebingtinggi,182226,39.17,8265.04,501,13.12
Sumatera Utara,Labuhanbatu,511704,2772.38,54829.28,1163,13.5903703703704
Sumatera Utara,Labuhanbatu Selatan,330008,3079.61,46170.5,780,13.5903703703704
Sumatera Utara,Labuhanbatu Utara,398860,3686.01,39677.85,850,13.5903703703704
Sumatera Utara,Langkat,1109248,6140.04,68152.02,2662,13.42
Sumatera Utara,Mandailing Natal,498720,6547.26,22043.92,934,13.985
Sumatera Utara,Nias,147614,902.4,5668.82,137,13.14
Sumatera Utara,Nias Barat,97366,464.22,2671.71,112,13.195
Sumatera Utara,Nias Selatan,369370,2531.7,9629.63,401,13.06
Sumatera Utara,Nias Utara,153174,1238.06,5128.29,160,13.36
Sumatera Utara,Padang Lawas,268427,3914.41,20555.91,598,13.86
Sumatera Utara,Padang Lawas Utara,272273,3945.56,19536.99,432,13.68
Sumatera Utara,Pakpak Barat,57152,1365.61,1871.67,108,13.99
Sumatera Utara,Samosir,148123,1850.04,6509.11,370,13.96
Sumatera Utara,Serdang Bedagai,690722,1949.18,46220.2,1716,12.74
Sumatera Utara,Simalungun,1022570,4601.48,64810.17,2331,13.375
Sumatera Utara,Tapanuli Selatan,322377,4201.04,23638,575,14.105
Sumatera Utara,Tapanuli Tengah,367798,2307.68,14559.65,806,13.555
Sumatera Utara,Tapanuli Utara,329252,3895.6,12051.74,753,13.96
Sumatera Utara,Toba Samosir,219148,2291.62,10831.86,574,13.5903703703704
